estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_174,,Algoritmos y Programación,2425-2,1,2025-02-12,6,Examen I (20%) | - Programación orientada a objetos (POO): - Herencia - Composición - Polimorfismo - Abstract,1.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-02-17,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,3.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-02-19,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,1.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-02-24,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,0.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-02-26,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,0.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-03-10,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,1.0,,
anon_174,,Algoritmos y Programación,2425-2,1,2025-03-12,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-06,1,"- Bienvenida al curso. - Reglas del curso. - Dinámica de evaluación y clases - Ambiente de trabajo y herramientas a utilizar. | - Introducción a la programación. - Tipos de datos, variables, operadores aritméticos y lógicos.",0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-08,1,"- Bienvenida al curso. - Reglas del curso. - Dinámica de evaluación y clases - Ambiente de trabajo y herramientas a utilizar. | - Introducción a la programación. - Tipos de datos, variables, operadores aritméticos y lógicos.",0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-13,2,- Expresiones lógicas. - Condicionales. - Funciones built-in de Python. | - Estructuras de repetición (Ciclo while),0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-15,2,- Expresiones lógicas. - Condicionales. - Funciones built-in de Python. | - Estructuras de repetición (Ciclo while),0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-20,3,- Estructuras de datos: - Listas (arreglos de tamaño variable) - Estructuras de repetición (Ciclo For) | - Estructuras de datos: - Diccionarios - Estructuras de datos combinadas,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-22,3,- Estructuras de datos: - Listas (arreglos de tamaño variable) - Estructuras de repetición (Ciclo For) | - Estructuras de datos: - Diccionarios - Estructuras de datos combinadas,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-27,4,- Funciones - Módulos | - Resolución de Ejercicios,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-01-29,4,- Funciones - Módulos | - Resolución de Ejercicios,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-05,5,QUIZ I (10%) | - Programación orientada a objetos (POO): - Introducción - Conceptos de clases y objetos - Abstracción - Ejercicios,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-12,6,Examen I (20%) | - Programación orientada a objetos (POO): - Herencia - Composición - Polimorfismo - Abstract,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-17,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-19,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-24,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-02-26,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-03-10,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,0.0,,
anon_265,,Algoritmos y Programación,2425-2,1,2025-03-12,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-06,1,"- Bienvenida al curso. - Reglas del curso. - Dinámica de evaluación y clases - Ambiente de trabajo y herramientas a utilizar. | - Introducción a la programación. - Tipos de datos, variables, operadores aritméticos y lógicos.",0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-08,1,"- Bienvenida al curso. - Reglas del curso. - Dinámica de evaluación y clases - Ambiente de trabajo y herramientas a utilizar. | - Introducción a la programación. - Tipos de datos, variables, operadores aritméticos y lógicos.",0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-13,2,- Expresiones lógicas. - Condicionales. - Funciones built-in de Python. | - Estructuras de repetición (Ciclo while),0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-15,2,- Expresiones lógicas. - Condicionales. - Funciones built-in de Python. | - Estructuras de repetición (Ciclo while),2.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-20,3,- Estructuras de datos: - Listas (arreglos de tamaño variable) - Estructuras de repetición (Ciclo For) | - Estructuras de datos: - Diccionarios - Estructuras de datos combinadas,3.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-22,3,- Estructuras de datos: - Listas (arreglos de tamaño variable) - Estructuras de repetición (Ciclo For) | - Estructuras de datos: - Diccionarios - Estructuras de datos combinadas,2.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-27,4,- Funciones - Módulos | - Resolución de Ejercicios,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-01-29,4,- Funciones - Módulos | - Resolución de Ejercicios,2.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-05,5,QUIZ I (10%) | - Programación orientada a objetos (POO): - Introducción - Conceptos de clases y objetos - Abstracción - Ejercicios,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-12,6,Examen I (20%) | - Programación orientada a objetos (POO): - Herencia - Composición - Polimorfismo - Abstract,1.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-17,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,1.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-19,7,- Programación orientada a objetos (POO): - Introducción a UML - Diagramas de Clase | - Librerías de 3ros (pip) - Consumo de RESTful APIs - Manejo de Archivos,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-24,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-02-26,8,- Recursividad | - Algoritmos de Ordenamiento - Algoritmos de Búsqueda,2.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-03-10,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,0.0,,
anon_226,,Algoritmos y Programación,2425-2,1,2025-03-12,10,- Complejidad en tiempo y espacio de los algoritmos | - Resolución de ejercicios,2.0,,
